tract_number,tract_county,tract_state,Hispanic or Latino (of any race) (percentage),Not Hispanic or Latino (percentage),White alone (percentage),Black or African American alone (percentage),American Indian and Alaska Native alone (percentage),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (percentage),Some Other Race alone (percentage),Two or More Races alone (percentage),Total population,Hispanic or Latino (of any race),Not Hispanic or Latino,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races alone
4801,Arkansas County,Arkansas,8.0%,92.0%,74.2%,14.0%,0.0%,0.0%,0.0%,0.0%,3.8%,1096.0,88,1008,813,153,0,0,0,0,42
4802,Arkansas County,Arkansas,9.3%,90.7%,87.5%,2.2%,0.0%,0.0%,0.0%,0.0%,0.9%,1524.0,142,1382,1334,34,0,0,0,0,14
4803,Arkansas County,Arkansas,4.8%,95.2%,64.1%,25.0%,0.2%,0.0%,0.0%,0.0%,6.0%,2878.0,137,2741,1844,719,5,0,0,0,173
4804,Arkansas County,Arkansas,1.2%,98.8%,25.6%,67.8%,0.3%,0.7%,0.0%,0.0%,4.4%,2034.0,24,2010,521,1379,7,14,0,0,89
4805,Arkansas County,Arkansas,0.4%,99.6%,64.8%,34.4%,0.0%,0.0%,0.0%,0.0%,0.4%,3623.0,16,3607,2346,1247,0,0,0,0,14
4806,Arkansas County,Arkansas,5.4%,94.6%,90.5%,2.5%,0.0%,0.0%,0.0%,0.0%,1.6%,1695.0,92,1603,1534,42,0,0,0,0,27
4807,Arkansas County,Arkansas,5.6%,94.4%,69.7%,23.5%,0.0%,0.0%,0.0%,0.0%,1.1%,2871.0,162,2709,2002,674,0,0,0,0,33
4808,Arkansas County,Arkansas,0.0%,100.0%,89.7%,6.7%,0.4%,0.0%,0.0%,0.0%,3.1%,1052.0,0,1052,944,71,4,0,0,0,33
9601,Ashley County,Arkansas,8.7%,91.3%,57.1%,31.5%,0.7%,0.0%,0.0%,0.0%,2.1%,1210.0,105,1105,691,381,8,0,0,0,25
9602,Ashley County,Arkansas,7.5%,92.5%,87.8%,3.9%,0.0%,0.0%,0.0%,0.0%,0.8%,2674.0,201,2473,2348,103,0,0,0,0,22
9603,Ashley County,Arkansas,14.9%,85.1%,65.9%,18.4%,0.0%,0.0%,0.0%,0.3%,0.5%,4372.0,652,3720,2883,803,0,0,0,12,22
9604,Ashley County,Arkansas,0.0%,100.0%,65.7%,34.2%,0.0%,0.0%,0.0%,0.0%,0.1%,1373.0,0,1373,902,470,0,0,0,0,1
9605,Ashley County,Arkansas,1.1%,98.9%,81.9%,16.7%,0.0%,0.0%,0.0%,0.0%,0.3%,2387.0,26,2361,1954,399,0,0,0,0,8
9606,Ashley County,Arkansas,2.3%,97.7%,55.0%,39.7%,0.0%,0.0%,0.0%,0.0%,3.1%,5015.0,115,4900,2758,1989,0,0,0,0,153
9607,Ashley County,Arkansas,3.4%,96.6%,65.6%,27.3%,0.0%,0.2%,3.0%,0.0%,0.5%,1691.0,58,1633,1110,461,0,3,50,0,9
9501,Baxter County,Arkansas,4.4%,95.6%,91.3%,0.0%,1.5%,1.6%,0.0%,0.0%,1.2%,4478.0,198,4280,4088,1,65,70,0,1,55
9502,Baxter County,Arkansas,3.1%,96.9%,93.0%,0.1%,0.0%,0.0%,0.0%,0.0%,3.8%,4601.0,141,4460,4280,4,0,0,0,0,176
9503,Baxter County,Arkansas,4.3%,95.7%,87.7%,0.0%,0.0%,1.9%,0.0%,0.0%,6.1%,5221.0,222,4999,4581,0,0,100,0,0,318
9504,Baxter County,Arkansas,1.6%,98.4%,91.0%,1.8%,0.7%,0.4%,0.4%,0.0%,4.0%,3345.0,55,3290,3043,61,24,15,13,0,134
9505,Baxter County,Arkansas,3.4%,96.6%,92.9%,1.3%,0.2%,0.1%,0.0%,0.0%,2.1%,5294.0,182,5112,4919,70,10,3,0,0,110
9506,Baxter County,Arkansas,2.2%,97.8%,93.7%,0.0%,0.0%,0.0%,0.0%,0.0%,4.1%,3751.0,82,3669,3515,0,0,0,0,0,154
9507,Baxter County,Arkansas,2.4%,97.6%,95.9%,0.0%,0.3%,0.0%,0.2%,0.0%,1.2%,3497.0,85,3412,3353,0,11,0,6,0,42
9508.01,Baxter County,Arkansas,1.3%,98.7%,86.1%,0.0%,0.2%,1.7%,0.0%,0.0%,10.7%,4361.0,56,4305,3754,0,9,75,0,0,467
9508.02,Baxter County,Arkansas,2.5%,97.5%,95.3%,0.0%,1.4%,0.0%,0.0%,0.0%,0.8%,2006.0,50,1956,1912,0,28,0,0,0,16
9509,Baxter County,Arkansas,1.5%,98.5%,92.6%,0.4%,0.0%,0.2%,0.0%,0.1%,5.2%,5596.0,86,5510,5181,23,0,10,0,5,291
201.02,Benton County,Arkansas,12.6%,87.4%,73.2%,0.9%,0.4%,1.0%,0.0%,4.6%,7.3%,7798.0,981,6817,5712,68,34,78,0,355,570
201.03,Benton County,Arkansas,11.2%,88.8%,66.8%,6.3%,0.1%,1.3%,0.0%,0.0%,14.3%,4777.0,534,4243,3191,302,5,62,0,0,683
201.04,Benton County,Arkansas,6.4%,93.6%,69.7%,1.0%,0.8%,0.0%,0.1%,1.4%,20.6%,1861.0,120,1741,1298,18,14,0,1,26,384
202.01,Benton County,Arkansas,42.7%,57.3%,45.2%,0.4%,1.0%,0.6%,0.0%,0.0%,10.1%,4964.0,2122,2842,2242,18,51,31,0,1,499
202.03,Benton County,Arkansas,34.4%,65.6%,59.6%,0.0%,0.2%,0.0%,0.0%,0.4%,5.4%,2850.0,980,1870,1700,0,7,0,0,10,153
202.05,Benton County,Arkansas,56.8%,43.2%,31.0%,0.0%,0.5%,0.0%,0.0%,1.0%,10.7%,5932.0,3368,2564,1840,0,32,0,0,59,633
202.06,Benton County,Arkansas,53.7%,46.3%,27.0%,0.5%,0.0%,1.8%,4.2%,2.8%,10.0%,8407.0,4517,3890,2269,42,0,150,351,234,844
203.01,Benton County,Arkansas,37.0%,63.0%,45.1%,2.8%,0.0%,0.3%,0.8%,0.0%,14.0%,4103.0,1519,2584,1852,114,0,12,31,0,575
203.02,Benton County,Arkansas,39.3%,60.7%,32.1%,2.2%,0.7%,7.0%,3.1%,0.0%,15.7%,4063.0,1598,2465,1303,88,30,283,124,0,637
203.04,Benton County,Arkansas,29.6%,70.4%,59.7%,2.2%,0.4%,0.8%,0.0%,0.3%,7.2%,4397.0,1300,3097,2624,96,17,34,0,11,315
203.05,Benton County,Arkansas,35.3%,64.7%,50.1%,1.7%,0.0%,1.5%,2.9%,1.0%,7.6%,3696.0,1305,2391,1850,63,0,54,106,36,282
204.01,Benton County,Arkansas,19.0%,81.0%,59.6%,1.0%,0.5%,1.3%,0.0%,0.6%,18.0%,7005.0,1329,5676,4177,69,35,93,0,42,1260
204.02,Benton County,Arkansas,46.1%,53.9%,32.2%,0.6%,0.6%,0.0%,0.0%,0.0%,20.5%,6559.0,3023,3536,2110,41,38,0,0,0,1347
204.04,Benton County,Arkansas,36.7%,63.3%,47.7%,0.8%,0.0%,0.0%,0.0%,0.0%,14.8%,4890.0,1795,3095,2332,37,0,0,0,0,726
204.05,Benton County,Arkansas,14.0%,86.0%,66.4%,0.2%,0.5%,13.7%,0.0%,0.0%,5.3%,5406.0,756,4650,3588,11,26,740,0,0,285
205.01,Benton County,Arkansas,4.7%,95.3%,78.5%,1.0%,0.7%,4.2%,0.0%,0.1%,10.9%,5539.0,260,5279,4350,53,40,231,0,4,601
205.03,Benton County,Arkansas,20.8%,79.2%,40.6%,2.2%,0.2%,19.2%,5.1%,0.5%,11.3%,4329.0,901,3428,1758,97,7,833,220,23,490
205.04,Benton County,Arkansas,11.1%,88.9%,67.1%,0.9%,0.8%,8.5%,0.0%,0.0%,11.7%,2630.0,291,2339,1765,23,21,223,0,0,307
206.04,Benton County,Arkansas,10.2%,89.8%,58.1%,4.2%,0.6%,4.7%,0.2%,1.1%,20.9%,5260.0,538,4722,3055,219,30,246,12,59,1101
206.05,Benton County,Arkansas,5.1%,94.9%,70.0%,2.5%,0.1%,4.6%,0.0%,0.6%,17.1%,3807.0,195,3612,2664,95,3,176,0,24,650
206.06,Benton County,Arkansas,8.0%,92.0%,70.7%,3.3%,0.9%,0.9%,0.0%,0.0%,16.3%,5034.0,401,4633,3559,165,44,46,0,0,819
206.07,Benton County,Arkansas,7.0%,93.0%,49.6%,2.1%,0.0%,30.7%,0.0%,0.0%,10.6%,10956.0,764,10192,5432,235,0,3364,0,0,1161
206.08,Benton County,Arkansas,18.7%,81.3%,42.7%,3.4%,0.0%,12.8%,0.0%,0.5%,21.9%,4116.0,769,3347,1756,142,0,526,0,22,901
207.01,Benton County,Arkansas,5.2%,94.8%,87.5%,0.0%,0.4%,0.0%,0.0%,0.0%,7.0%,6675.0,347,6328,5839,0,25,0,0,0,464
207.03,Benton County,Arkansas,3.0%,97.0%,82.4%,0.0%,0.3%,1.7%,0.0%,0.4%,12.1%,5223.0,157,5066,4305,0,15,91,0,23,632
207.04,Benton County,Arkansas,8.7%,91.3%,77.5%,0.5%,0.1%,0.9%,0.0%,0.5%,11.8%,4548.0,397,4151,3526,22,3,43,0,21,536
208.01,Benton County,Arkansas,2.2%,97.8%,94.3%,0.0%,0.4%,0.0%,0.0%,0.0%,3.1%,4211.0,92,4119,3971,0,16,0,0,0,132
208.03,Benton County,Arkansas,6.1%,93.9%,82.5%,0.8%,1.5%,0.7%,0.0%,0.0%,8.5%,5083.0,309,4774,4194,40,76,34,0,0,430
208.05,Benton County,Arkansas,7.1%,92.9%,68.8%,5.0%,0.0%,2.9%,0.0%,0.5%,15.8%,4874.0,345,4529,3353,243,0,142,0,23,768
208.06,Benton County,Arkansas,7.2%,92.8%,83.0%,1.1%,1.3%,3.0%,0.0%,0.0%,4.4%,7045.0,504,6541,5848,79,89,212,0,0,313
209.03,Benton County,Arkansas,12.5%,87.5%,58.4%,4.6%,0.0%,13.0%,0.0%,0.0%,11.5%,5435.0,680,4755,3173,251,0,707,0,0,624
209.04,Benton County,Arkansas,10.5%,89.5%,52.6%,11.7%,0.0%,4.6%,0.0%,0.0%,20.6%,8009.0,839,7170,4215,941,0,368,0,0,1646
209.05,Benton County,Arkansas,2.6%,97.4%,75.9%,0.4%,1.4%,0.0%,0.0%,0.0%,19.7%,3228.0,85,3143,2450,12,46,0,0,0,635
209.06,Benton County,Arkansas,14.0%,86.0%,67.4%,1.1%,0.6%,3.7%,0.0%,0.0%,13.2%,6121.0,858,5263,4123,70,34,228,0,0,808
210.01,Benton County,Arkansas,1.7%,98.3%,76.1%,1.1%,0.2%,6.2%,0.0%,0.3%,14.5%,5813.0,100,5713,4425,62,9,360,0,15,842
210.03,Benton County,Arkansas,18.0%,82.0%,50.1%,3.0%,1.8%,3.0%,5.0%,0.0%,19.0%,2722.0,489,2233,1365,82,50,83,136,0,517
210.04,Benton County,Arkansas,20.3%,79.7%,68.8%,0.0%,1.6%,2.3%,0.0%,0.0%,7.0%,3995.0,810,3185,2748,0,65,93,0,0,279
211.01,Benton County,Arkansas,28.8%,71.2%,46.8%,0.0%,5.7%,4.5%,1.1%,0.0%,13.2%,5381.0,1548,3833,2517,0,309,242,57,0,708
211.02,Benton County,Arkansas,25.1%,74.9%,57.1%,1.0%,1.3%,4.4%,0.0%,0.0%,11.1%,3596.0,904,2692,2052,35,47,160,0,0,398
212.01,Benton County,Arkansas,17.8%,82.2%,53.9%,2.1%,2.3%,1.8%,0.4%,0.1%,21.5%,5306.0,943,4363,2860,112,124,95,23,7,1142
212.02,Benton County,Arkansas,8.3%,91.7%,62.9%,0.0%,3.5%,1.0%,0.0%,0.0%,24.2%,3419.0,285,3134,2152,0,119,34,0,0,829
213.04,Benton County,Arkansas,13.9%,86.1%,58.7%,4.6%,0.7%,10.5%,0.0%,0.2%,11.4%,12324.0,1710,10614,7235,569,90,1291,0,27,1402
213.05,Benton County,Arkansas,10.3%,89.7%,67.0%,0.8%,1.4%,3.6%,0.2%,0.5%,16.2%,6718.0,692,6026,4503,52,97,242,11,33,1088
213.06,Benton County,Arkansas,8.3%,91.7%,84.1%,0.8%,0.1%,2.2%,0.0%,0.5%,4.0%,5272.0,440,4832,4435,40,4,114,0,27,212
213.08,Benton County,Arkansas,8.2%,91.8%,76.5%,0.3%,0.1%,5.0%,0.0%,0.0%,9.9%,6878.0,563,6315,5262,23,5,345,0,0,680
213.12,Benton County,Arkansas,8.0%,92.0%,71.4%,0.0%,0.2%,1.0%,0.0%,0.4%,19.1%,4278.0,342,3936,3054,0,7,43,0,16,816
213.13,Benton County,Arkansas,15.1%,84.9%,57.8%,1.0%,3.6%,0.2%,0.0%,0.0%,22.3%,2957.0,446,2511,1709,30,105,7,0,0,660
213.14,Benton County,Arkansas,22.8%,77.2%,60.8%,2.3%,0.4%,2.9%,0.6%,0.0%,10.2%,3769.0,859,2910,2293,86,16,110,21,0,384
213.15,Benton County,Arkansas,14.4%,85.6%,68.3%,3.9%,0.5%,1.8%,0.1%,0.0%,11.0%,6514.0,938,5576,4450,251,32,119,8,0,716
213.16,Benton County,Arkansas,7.2%,92.8%,74.8%,0.9%,0.0%,0.9%,0.0%,0.0%,16.3%,7403.0,530,6873,5534,69,0,63,0,0,1207
213.17,Benton County,Arkansas,11.6%,88.4%,64.0%,1.5%,0.0%,0.8%,0.0%,0.0%,22.0%,3501.0,405,3096,2242,54,0,29,0,0,771
214.04,Benton County,Arkansas,30.8%,69.2%,46.7%,0.4%,0.9%,0.7%,0.0%,4.5%,16.0%,4194.0,1293,2901,1958,18,37,30,0,188,670
214.05,Benton County,Arkansas,0.6%,99.4%,84.7%,0.0%,0.4%,0.6%,0.3%,0.0%,13.4%,2167.0,13,2154,1836,0,8,14,6,0,290
214.06,Benton County,Arkansas,44.6%,55.4%,37.6%,1.4%,0.1%,1.3%,7.7%,0.0%,7.3%,5447.0,2428,3019,2049,74,8,69,422,0,397
214.07,Benton County,Arkansas,12.7%,87.3%,78.5%,0.0%,0.0%,0.7%,0.0%,1.0%,7.1%,4452.0,567,3885,3494,0,0,31,0,44,316
214.08,Benton County,Arkansas,43.6%,56.4%,37.6%,0.4%,0.3%,1.2%,7.1%,0.6%,9.2%,7053.0,3076,3977,2649,27,21,83,501,45,651
214.09,Benton County,Arkansas,1.1%,98.9%,68.6%,0.0%,0.5%,0.4%,0.0%,0.0%,29.5%,2551.0,28,2523,1750,0,12,9,0,0,752
7901,Boone County,Arkansas,1.6%,98.4%,94.5%,0.3%,0.4%,0.0%,0.0%,0.0%,3.2%,6432.0,101,6331,6079,20,28,0,0,0,204
7902,Boone County,Arkansas,2.0%,98.0%,91.5%,0.5%,0.5%,1.0%,0.0%,0.4%,4.0%,6220.0,127,6093,5691,28,31,65,2,26,250
7903,Boone County,Arkansas,1.4%,98.6%,95.2%,0.2%,0.3%,0.0%,0.0%,0.3%,2.5%,5667.0,80,5587,5397,14,18,0,0,17,141
7904,Boone County,Arkansas,2.0%,98.0%,94.1%,0.2%,0.4%,0.0%,0.0%,0.0%,3.3%,5993.0,122,5871,5642,10,23,0,0,0,196
7905.01,Boone County,Arkansas,3.0%,97.0%,93.5%,0.2%,0.0%,0.3%,0.8%,0.0%,2.2%,4536.0,137,4399,4239,10,0,12,36,0,102
7905.02,Boone County,Arkansas,6.1%,93.9%,92.1%,0.6%,0.5%,0.0%,0.0%,0.0%,0.8%,3686.0,224,3462,3396,21,17,0,0,0,28
7906,Boone County,Arkansas,6.1%,93.9%,88.4%,0.0%,0.2%,0.4%,0.0%,0.0%,4.8%,5362.0,329,5033,4742,0,11,21,0,0,259
9501,Bradley County,Arkansas,17.3%,82.7%,56.4%,25.8%,0.0%,0.0%,0.0%,0.0%,0.4%,2881.0,499,2382,1626,744,0,0,1,0,11
9502,Bradley County,Arkansas,1.1%,98.9%,61.7%,28.1%,0.0%,0.0%,1.6%,0.0%,7.4%,1870.0,21,1849,1154,526,0,0,30,0,139
9503,Bradley County,Arkansas,14.9%,85.1%,39.8%,42.1%,0.0%,0.0%,0.0%,0.0%,3.2%,1915.0,285,1630,763,806,0,0,0,0,61
9504,Bradley County,Arkansas,37.9%,62.1%,34.0%,25.1%,0.0%,0.4%,0.0%,0.0%,2.6%,1678.0,636,1042,571,421,0,7,0,0,43
9505,Bradley County,Arkansas,8.8%,91.2%,75.9%,11.8%,0.0%,0.0%,0.0%,0.0%,3.5%,2010.0,177,1833,1525,238,0,0,0,0,70
4801,Calhoun County,Arkansas,3.8%,96.2%,78.4%,16.7%,0.5%,0.0%,0.0%,0.0%,0.6%,2263.0,85,2178,1775,378,11,0,0,0,14
4802,Calhoun County,Arkansas,18.7%,81.3%,67.0%,8.0%,0.0%,0.4%,0.0%,0.0%,5.9%,2454.0,459,1995,1644,197,0,9,0,0,145
9501,Carroll County,Arkansas,4.2%,95.8%,88.0%,0.2%,1.5%,0.0%,0.0%,0.6%,5.5%,2954.0,125,2829,2600,7,43,0,0,18,161
9502.01,Carroll County,Arkansas,2.2%,97.8%,87.8%,0.7%,1.3%,0.8%,0.0%,0.0%,7.3%,3806.0,83,3723,3341,26,48,30,0,0,278
9502.02,Carroll County,Arkansas,8.3%,91.7%,85.5%,0.0%,0.0%,1.8%,0.0%,0.0%,4.4%,2579.0,214,2365,2205,0,0,46,0,0,114
9503.01,Carroll County,Arkansas,25.0%,75.0%,60.1%,0.0%,0.0%,0.4%,0.0%,0.0%,14.5%,3410.0,853,2557,2048,0,0,14,0,0,495
9503.02,Carroll County,Arkansas,20.2%,79.8%,57.4%,0.5%,2.2%,2.3%,2.1%,0.0%,15.3%,4586.0,926,3660,2634,21,100,105,97,0,703
9504,Carroll County,Arkansas,5.5%,94.5%,77.3%,0.0%,1.6%,0.2%,0.0%,0.7%,14.8%,3962.0,216,3746,3062,0,64,9,0,26,585
9505.01,Carroll County,Arkansas,1.0%,99.0%,87.8%,0.0%,0.0%,0.0%,0.0%,0.0%,11.2%,2340.0,23,2317,2054,0,0,0,0,0,263
9505.02,Carroll County,Arkansas,40.6%,59.4%,44.4%,0.0%,0.3%,5.0%,5.3%,0.0%,4.5%,4889.0,1983,2906,2169,0,17,244,257,0,219
801,Chicot County,Arkansas,9.6%,90.4%,68.3%,19.2%,0.3%,0.0%,0.0%,0.0%,2.6%,3058.0,295,2763,2088,586,8,0,0,0,81
802,Chicot County,Arkansas,0.0%,100.0%,22.7%,76.5%,0.0%,0.4%,0.0%,0.0%,0.4%,2173.0,1,2172,494,1662,0,8,0,0,8
803,Chicot County,Arkansas,11.8%,88.2%,38.6%,47.2%,0.0%,0.6%,0.0%,0.0%,1.8%,2816.0,332,2484,1086,1328,0,18,0,0,52
804,Chicot County,Arkansas,0.0%,100.0%,8.8%,90.4%,0.0%,0.0%,0.0%,0.0%,0.9%,1950.0,0,1950,171,1762,0,0,0,0,17
9536.01,Clark County,Arkansas,6.4%,93.6%,57.7%,30.9%,0.2%,0.4%,0.4%,0.2%,3.7%,5133.0,327,4806,2964,1588,9,23,22,11,189
9536.02,Clark County,Arkansas,4.9%,95.1%,75.1%,15.3%,0.0%,1.8%,0.5%,0.1%,2.4%,4084.0,200,3884,3068,624,0,72,19,3,98
9537,Clark County,Arkansas,3.7%,96.3%,82.2%,11.7%,0.0%,0.0%,0.0%,0.0%,2.4%,3927.0,146,3781,3229,458,0,0,0,0,94
9538,Clark County,Arkansas,4.4%,95.6%,53.7%,38.1%,0.0%,0.0%,0.0%,0.0%,3.8%,3253.0,144,3109,1747,1239,0,0,0,0,123
9539.01,Clark County,Arkansas,0.7%,99.3%,78.6%,19.6%,0.2%,0.0%,0.0%,0.0%,0.9%,1980.0,13,1967,1557,388,4,0,0,0,18
9539.02,Clark County,Arkansas,10.5%,89.5%,63.3%,25.2%,0.0%,0.0%,0.0%,0.0%,1.0%,3001.0,316,2685,1901,755,0,0,0,0,29
9501,Clay County,Arkansas,0.2%,99.8%,89.6%,0.0%,0.1%,0.1%,0.0%,0.0%,10.0%,1891.0,4,1887,1695,0,1,2,0,0,189
9502,Clay County,Arkansas,0.0%,100.0%,98.1%,0.0%,0.0%,0.0%,0.0%,0.0%,1.8%,2094.0,1,2093,2055,0,0,0,0,1,37
9503,Clay County,Arkansas,0.1%,99.9%,97.1%,0.0%,0.0%,0.2%,0.0%,0.0%,2.7%,1771.0,1,1770,1720,0,0,3,0,0,47
9504,Clay County,Arkansas,1.1%,98.9%,91.3%,0.0%,0.8%,0.0%,0.0%,0.0%,6.9%,3151.0,34,3117,2876,0,24,0,0,0,217
9505,Clay County,Arkansas,0.3%,99.7%,93.9%,0.0%,0.0%,0.0%,0.0%,0.0%,5.8%,1744.0,5,1739,1638,0,0,0,0,0,101
9506,Clay County,Arkansas,2.0%,98.0%,94.0%,0.3%,0.6%,0.0%,0.0%,0.0%,3.0%,3748.0,75,3673,3524,13,22,0,0,0,114
4801,Cleburne County,Arkansas,1.7%,98.3%,94.1%,0.1%,1.7%,0.4%,0.0%,0.0%,2.0%,3735.0,62,3673,3514,2,65,16,0,0,76
4802.01,Cleburne County,Arkansas,2.6%,97.4%,92.4%,0.0%,2.1%,0.0%,0.0%,0.0%,2.9%,1779.0,46,1733,1644,0,37,0,0,0,52
4802.03,Cleburne County,Arkansas,0.0%,100.0%,96.1%,0.0%,0.3%,0.0%,0.4%,0.0%,3.2%,2087.0,0,2087,2005,0,7,0,9,0,66
4802.04,Cleburne County,Arkansas,0.9%,99.1%,91.9%,0.0%,0.0%,0.2%,0.0%,0.0%,7.0%,997.0,9,988,916,0,0,2,0,0,70
4803.01,Cleburne County,Arkansas,0.5%,99.5%,90.6%,0.5%,0.1%,0.0%,0.0%,0.0%,8.2%,2160.0,11,2149,1957,11,3,0,0,0,178
4803.02,Cleburne County,Arkansas,1.5%,98.5%,95.5%,0.9%,0.4%,0.0%,0.0%,0.0%,1.8%,2979.0,44,2935,2844,26,11,0,0,0,54
4804,Cleburne County,Arkansas,4.7%,95.3%,91.6%,0.8%,0.1%,0.6%,0.0%,0.0%,2.2%,4677.0,221,4456,4285,36,4,27,0,0,104
4805.01,Cleburne County,Arkansas,7.4%,92.6%,89.5%,0.5%,0.2%,0.0%,0.0%,0.0%,2.5%,3110.0,230,2880,2783,15,5,0,0,0,77
4805.02,Cleburne County,Arkansas,2.6%,97.4%,89.0%,0.0%,0.3%,0.2%,0.0%,3.1%,4.9%,3524.0,90,3434,3137,0,9,6,0,108,174
9701,Cleveland County,Arkansas,0.1%,99.9%,84.5%,10.8%,0.0%,0.0%,0.0%,0.0%,4.5%,4188.0,5,4183,3539,454,0,0,0,0,190
9702,Cleveland County,Arkansas,0.5%,99.5%,82.8%,16.0%,0.0%,0.5%,0.0%,0.0%,0.2%,3303.0,18,3285,2734,530,0,16,0,0,5
9501,Columbia County,Arkansas,2.3%,97.7%,74.9%,19.4%,0.6%,1.3%,0.0%,0.0%,1.4%,4349.0,102,4247,3257,843,28,56,0,0,63
