,RCDTS,Type,School Name,District,City,County,District Type,District Size,School Type,SAT Reading Average Score,SAT Math Average Score,SAT Math Total Students Level 1 %,SAT Math Total Students Level 2 %,SAT Math Total Students Level 3 %,SAT Math Total Students Level 4 %
1098,090100030260001,School,Mahomet-Seymour High School,Mahomet-Seymour CUSD 3,Mahomet,Champaign,UNIT,LARGE,HIGH SCHOOL,542.0,560.7,17.9,28.5,31.3,22.4
1103,090100040260001,School,Centennial High School,Champaign CUSD 4,Champaign,Champaign,UNIT,LARGE,HIGH SCHOOL,480.7,477.3,47.1,26.1,21.3,5.5
1104,090100040260002,School,Central High School,Champaign CUSD 4,Champaign,Champaign,UNIT,LARGE,HIGH SCHOOL,503.3,493.8,42.2,24.8,20.7,12.2
1122,090100070260007,School,Unity High School,Tolono CUSD 7,Tolono,Champaign,UNIT,MEDIUM,HIGH SCHOOL,528.8,514.3,27.5,30.0,36.7,5.8
1127,090100080260001,School,Heritage High School,Heritage CUSD 8,Broadlands,Champaign,UNIT,SMALL,HIGH SCHOOL,486.8,457.5,57.1,21.4,21.4,0.0
1130,090101160220001,School,Urbana High School,Urbana SD 116,Urbana,Champaign,UNIT,LARGE,HIGH SCHOOL,484.5,458.4,56.1,21.2,17.5,5.2
1155,090101930170001,School,Rantoul Twp High School,Rantoul Township HSD 193,Rantoul,Champaign,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,431.6,416.0,73.1,20.5,6.4,0.0
1161,090103050160001,School,St Joseph-Ogden High School,St Joseph Ogden CHSD 305,Saint Joseph,Champaign,HIGH SCHOOL,SMALL,HIGH SCHOOL,528.4,540.8,21.2,26.9,38.5,13.5
1163,090270050260001,School,GCMS High School,Gibson City-Melvin-Sibley CUSD,Gibson City,Ford,UNIT,MEDIUM,HIGH SCHOOL,508.4,504.5,23.2,44.6,30.4,1.8
1167,090270100260001,School,Paxton-Buckley-Loda High Schoo,Paxton-Buckley-Loda CUD 10,Paxton,Ford,UNIT,MEDIUM,HIGH SCHOOL,491.2,507.4,33.3,32.3,26.3,8.1
1171,11012002C260001,School,Marshall High School,Marshall CUSD 2C,Marshall,Clark,UNIT,MEDIUM,HIGH SCHOOL,501.9,483.8,34.8,37.7,27.5,0.0
1176,11012003C260001,School,Martinsville Jr-Sr High School,Martinsville CUSD 3C,Martinsville,Clark,UNIT,SMALL,HIGH SCHOOL,462.6,466.3,36.8,47.4,15.8,0.0
1179,11012004C260001,School,Casey-Westfield Jr/Sr HS,Casey-Westfield CUSD 4C,Casey,Clark,UNIT,MEDIUM,HIGH SCHOOL,476.7,472.0,36.4,45.5,16.4,1.8
1182,110150010260001,School,Charleston High School,Charleston CUSD 1,Charleston,Coles,UNIT,LARGE,HIGH SCHOOL,478.1,460.3,51.7,28.5,17.4,2.4
1189,110150020260001,School,Mattoon High School,Mattoon CUSD 2,Mattoon,Coles,UNIT,LARGE,HIGH SCHOOL,467.2,444.7,57.9,27.9,14.2,0.0
1195,110150050260002,School,Oakland High School,Oakland CUSD 5,Oakland,Coles,UNIT,SMALL,HIGH SCHOOL,487.2,462.8,50.0,33.3,11.1,5.6
1198,110180030260001,School,Neoga Jr/Sr High School,Neoga CUSD 3,Neoga,Cumberland,UNIT,MEDIUM,HIGH SCHOOL,503.5,486.3,45.1,25.5,25.5,3.9
1201,110180770260001,School,Cumberland High School,Cumberland CUSD 77,Toledo,Cumberland,UNIT,MEDIUM,HIGH SCHOOL,480.6,473.5,34.9,46.0,15.9,3.2
1205,110213010260001,School,Tuscola High School,Tuscola CUSD 301,Tuscola,Douglas,UNIT,MEDIUM,HIGH SCHOOL,479.7,468.6,45.3,31.3,20.3,3.1
1209,110213020260001,School,Villa Grove High School,Villa Grove CUSD 302,Villa Grove,Douglas,UNIT,MEDIUM,HIGH SCHOOL,475.6,462.9,44.4,40.0,13.3,2.2
1213,110213050260001,School,Arthur-Lovington-Atwood-Hammon,Arthur CUSD 305,Arthur,Douglas,UNIT,MEDIUM,HIGH SCHOOL,497.1,485.7,32.4,44.1,19.1,4.4
1218,110213060260001,School,Arcola High School,Arcola CUSD 306,Arcola,Douglas,UNIT,MEDIUM,HIGH SCHOOL,446.8,441.2,56.1,33.3,10.5,0.0
1221,110230010260001,School,Shiloh High School,Shiloh CUSD 1,Hume,Edgar,UNIT,SMALL,HIGH SCHOOL,444.8,422.6,55.6,40.7,3.7,0.0
1224,110230030260001,School,Kansas High School,Kansas CUSD 3,Kansas,Edgar,UNIT,SMALL,HIGH SCHOOL,445.0,451.7,50.0,33.3,16.7,0.0
1230,110230060260001,School,Chrisman High School,Edgar County CUD 6,Chrisman,Edgar,UNIT,SMALL,HIGH SCHOOL,471.3,447.0,56.5,34.8,4.3,4.3
1239,110238000800001,School,Paris Cooperative High School,Paris Cooperative High School,Paris,Edgar,HIGH SCHOOL,SMALL,HIGH SCHOOL,474.4,457.4,44.9,41.1,14.0,0.0
1241,110703000260004,School,Sullivan High School,Sullivan CUSD 300,Sullivan,Moultrie,UNIT,MEDIUM,HIGH SCHOOL,491.2,467.0,48.5,34.8,15.2,1.5
1245,110703020260001,School,Okaw Valley High School,Okaw Valley CUSD 302,Bethany,Moultrie,UNIT,MEDIUM,HIGH SCHOOL,467.9,456.2,38.5,53.8,7.7,0.0
1249,110870010260002,School,Windsor Jr & Sr High School,Windsor CUSD 1,Windsor,Shelby,UNIT,SMALL,HIGH SCHOOL,484.2,453.1,46.2,38.5,15.4,0.0
1252,11087003A260001,School,Cowden-Herrick Jr/Sr High Scho,Cowden-Herrick CUSD 3A,Cowden,Shelby,UNIT,SMALL,HIGH SCHOOL,439.6,432.5,66.7,33.3,0.0,0.0
1255,110870040260001,School,Shelbyville High School,Shelbyville CUSD 4,Shelbyville,Shelby,UNIT,MEDIUM,HIGH SCHOOL,479.2,464.0,39.7,43.6,16.7,0.0
1260,11087005A260001,School,Stewardson-Strasburg High Scho,Stewardson-Strasburg CUD 5A,Strasburg,Shelby,UNIT,SMALL,HIGH SCHOOL,489.4,474.7,40.6,40.6,18.8,0.0
1263,110870210260001,School,Central A & M High School,Central A & M CUD 21,Moweaqua,Shelby,UNIT,MEDIUM,HIGH SCHOOL,469.8,446.9,52.9,35.3,11.8,0.0
1268,120130100260002,School,Clay City High School,Clay City CUSD 10,Clay City,Clay,UNIT,SMALL,HIGH SCHOOL,534.0,492.0,20.0,70.0,10.0,0.0
1272,120130250260001,School,North Clay Community High Scho,North Clay CUSD 25,Louisville,Clay,UNIT,MEDIUM,HIGH SCHOOL,460.6,467.5,41.7,37.5,20.8,0.0
1275,120130350260001,School,Flora High School,Flora CUSD 35,Flora,Clay,UNIT,MEDIUM,HIGH SCHOOL,460.4,439.4,58.4,32.5,9.1,0.0
1279,120170010260001,School,Hutsonville High School,Hutsonville CUSD 1,Hutsonville,Crawford,UNIT,SMALL,HIGH SCHOOL,473.6,450.4,64.3,14.3,17.9,3.6
1282,120170020260001,School,Robinson High School,Robinson CUSD 2,Robinson,Crawford,UNIT,MEDIUM,HIGH SCHOOL,473.2,466.1,52.3,23.9,22.9,0.9
1287,120170030260001,School,Palestine High School,Palestine CUSD 3,Palestine,Crawford,UNIT,SMALL,HIGH SCHOOL,471.1,468.3,44.4,27.8,27.8,0.0
1290,120170040260001,School,Oblong High School,Oblong CUSD 4,Oblong,Crawford,UNIT,MEDIUM,HIGH SCHOOL,447.1,453.9,56.1,26.8,14.6,2.4
1293,120400010260001,School,Newton Comm High School,Jasper County CUD 1,Newton,Jasper,UNIT,MEDIUM,HIGH SCHOOL,474.2,469.7,40.0,38.0,22.0,0.0
1298,120510100260001,School,Red Hill Jr/Sr High School,Red Hill CUSD 10,Bridgeport,Lawrence,UNIT,MEDIUM,HIGH SCHOOL,464.1,442.8,52.5,42.6,4.9,0.0
1302,120510200260008,School,Lawrenceville High School,Lawrence County CUD 20,Lawrenceville,Lawrence,UNIT,MEDIUM,HIGH SCHOOL,468.5,441.6,61.3,25.0,13.8,0.0
1306,120800010260001,School,Richland County High School,Richland County CUSD 1,Olney,Richland,UNIT,LARGE,HIGH SCHOOL,469.2,466.6,45.3,37.3,14.9,2.5
1310,130140010260001,School,Carlyle High School,Carlyle CUSD 1,Carlyle,Clinton,UNIT,MEDIUM,HIGH SCHOOL,471.4,462.7,39.7,42.9,15.9,1.6
1314,130140030260006,School,Wesclin Sr High School,Wesclin CUSD 3,Trenton,Clinton,UNIT,MEDIUM,HIGH SCHOOL,503.6,491.5,37.1,30.3,31.5,1.1
1334,130140710160001,School,Central Comm High School,Central CHSD 71,Breese,Clinton,HIGH SCHOOL,SMALL,HIGH SCHOOL,499.1,503.7,34.0,31.4,28.3,6.3
1340,130410010260001,School,Waltonville High School,Waltonville CUSD 1,Waltonville,Jefferson,UNIT,SMALL,HIGH SCHOOL,454.8,457.3,51.5,27.3,21.2,0.0
1367,130412010170001,School,Mount Vernon High School,Mt Vernon Twp HSD 201,Mount Vernon,Jefferson,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,447.5,438.7,58.8,28.3,12.1,0.8
1369,130412090270001,School,Woodlawn High School,Woodlawn Unit School District ,Woodlawn,Jefferson,UNIT,MEDIUM,HIGH SCHOOL,488.3,467.7,40.4,46.2,13.5,0.0
1372,130413180270001,School,Webber High School,Bluford Unit School District 3,Bluford,Jefferson,UNIT,SMALL,HIGH SCHOOL,456.1,440.0,50.0,42.9,7.1,0.0
1383,130581000260002,School,Patoka Sr High School,Patoka CUSD 100,Patoka,Marion,UNIT,SMALL,HIGH SCHOOL,485.4,466.9,53.8,30.8,7.7,7.7
1397,130582000170001,School,Centralia High School,Centralia HSD 200,Centralia,Marion,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,470.6,466.9,42.7,36.4,21.0,0.0
1399,130584010260001,School,South Central High School,South Central CUD 401,Farina,Marion,UNIT,MEDIUM,HIGH SCHOOL,479.5,454.1,49.2,35.6,15.3,0.0
1403,130585010260001,School,Sandoval Sr High School,Sandoval CUSD 501,Sandoval,Marion,UNIT,SMALL,HIGH SCHOOL,424.5,407.5,75.0,25.0,0.0,0.0
1407,130586000160001,School,Salem Community High School,Salem CHSD 600,Salem,Marion,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,459.3,458.6,49.6,29.8,19.1,1.4
1409,130587220260001,School,Odin Attendance Center 9-12,Odin PSD 722,Odin,Marion,UNIT,SMALL,HIGH SCHOOL,446.4,438.6,64.3,21.4,7.1,7.1
1414,130950100260001,School,Okawville Jr/Sr High School,West Washington Co CUD 10,Okawville,Washington,UNIT,MEDIUM,HIGH SCHOOL,494.0,495.2,33.3,33.3,26.2,7.1
1423,130950990160001,School,Nashville Comm High School,Nashville CHSD 99,Nashville,Washington,HIGH SCHOOL,SMALL,HIGH SCHOOL,484.9,469.6,31.7,56.4,11.9,0.0
1425,150162990250001,School,Amundsen High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,487.3,475.9,42.1,34.1,21.5,2.3
1426,150162990250003,School,Bogan High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,400.1,391.6,86.4,11.9,1.7,0.0
1427,150162990250006,School,Carver Military Academy HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,448.8,431.5,63.4,31.2,5.4,0.0
1428,150162990250011,School,Farragut Career Academy HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,405.9,397.2,82.6,15.7,1.7,0.0
1429,150162990250012,School,Fenger Academy High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,401.3,380.0,88.7,11.3,0.0,0.0
1430,150162990250013,School,Foreman High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,401.0,390.8,85.0,11.7,3.3,0.0
1431,150162990250014,School,Back of The Yards IB HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,470.5,468.7,41.4,37.2,20.7,0.8
1432,150162990250015,School,Gage Park High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,393.5,388.6,86.9,12.1,0.9,0.0
1433,150162990250016,School,Harlan Community Academy HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,398.7,388.0,85.2,12.3,2.5,0.0
1434,150162990250017,School,Harper High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,,,,,,
1435,150162990250019,School,Hirsch Metropolitan High Schoo,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,374.4,365.6,96.3,3.7,0.0,0.0
1436,150162990250020,School,Hubbard High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,440.2,416.5,68.5,25.9,5.4,0.2
1437,150162990250021,School,Hyde Park Academy High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,405.6,386.7,87.5,12.5,0.0,0.0
1438,150162990250022,School,Thomas Kelly College Preparato,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,434.6,430.9,64.7,25.1,9.3,1.0
1439,150162990250023,School,Kelvyn Park High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,409.7,389.8,95.2,3.2,1.6,0.0
1440,150162990250024,School,Kennedy High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,466.3,448.7,50.2,36.9,12.4,0.6
1441,150162990250025,School,Kenwood Academy High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,505.1,482.9,34.7,41.2,22.1,2.0
1442,150162990250026,School,Lake View High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,447.4,433.2,60.9,30.0,8.8,0.3
1443,150162990250027,School,Lane Technical High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,607.7,607.0,1.7,16.9,58.5,22.8
1444,150162990250029,School,Marshall Metropolitan High Sch,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,389.3,386.7,92.9,5.7,1.4,0.0
1445,150162990250030,School,Mather High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,450.2,441.2,58.7,28.3,12.5,0.5
1446,150162990250031,School,Morgan Park High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,419.4,400.3,82.3,16.9,0.9,0.0
1447,150162990250034,School,Phillips Academy High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,402.2,398.8,83.5,14.1,2.4,0.0
1448,150162990250035,School,Roosevelt High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,409.2,400.1,80.8,17.4,1.4,0.5
1449,150162990250036,School,Schurz High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,423.5,416.9,70.6,24.5,4.6,0.3
1450,150162990250037,School,Senn High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,469.5,454.0,50.0,33.0,15.8,1.2
1451,150162990250039,School,King College Prep High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,488.8,476.3,29.5,56.3,13.4,0.9
1452,150162990250041,School,Steinmetz College Prep HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,423.0,407.9,75.3,21.3,3.0,0.3
1453,150162990250042,School,Sullivan High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,429.5,420.6,70.8,20.0,9.2,0.0
1454,150162990250043,School,Taft High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,488.0,468.9,42.4,34.0,22.3,1.4
1455,150162990250044,School,Tilden Career Communty Academy,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,404.4,393.8,84.4,13.3,2.2,0.0
1456,150162990250046,School,Von Steuben Metro Science HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,514.1,507.0,26.5,34.4,35.6,3.5
1457,150162990250047,School,Lincoln Park High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,533.1,525.9,15.3,39.1,40.3,5.3
1458,150162990250048,School,Washington G High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,439.2,418.5,65.5,29.7,4.8,0.0
1459,150162990250049,School,Wells Community Academy HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,401.1,389.9,85.5,14.5,0.0,0.0
1460,150162990250052,School,Crane Medical Prep HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,437.8,424.9,70.7,26.1,3.3,0.0
1461,150162990250053,School,Disney II Magnet HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,486.2,463.6,46.4,34.8,17.9,0.9
1491,150162990250526,School,Chicago Vocational Career Acad,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,401.2,386.4,85.9,14.1,0.0,0.0
1493,150162990250531,School,Dunbar Vocational Career Acad ,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,407.5,390.4,90.4,9.6,0.0,0.0
1494,150162990250533,School,Jones College Prep High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,640.3,641.5,0.8,8.7,49.4,41.1
1495,150162990250534,School,Prosser Career Academy HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,466.0,436.8,59.1,31.5,8.6,0.9
1496,150162990250536,School,Richards Career Academy HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,384.2,372.2,97.0,1.5,1.5,0.0
1497,150162990250537,School,Simeon Career Academy High Sch,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,415.2,405.0,78.8,19.9,1.3,0.0
1499,150162990250543,School,Corliss High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,389.7,385.8,85.2,14.8,0.0,0.0
1500,150162990250545,School,Clemente Community Academy HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,411.3,398.6,81.7,14.3,3.2,0.8
1508,150162990250616,School,Manley Career Academy High Sch,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,377.1,375.8,100.0,0.0,0.0,0.0
1509,150162990250617,School,Curie Metropolitan High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,444.6,440.1,55.4,35.8,8.2,0.6
1523,150162990250763,School,Julian High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,388.5,377.1,93.7,5.3,1.1,0.0
1524,150162990250764,School,Young Magnet High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,640.3,642.1,1.3,11.7,46.8,40.2
1525,150162990250767,School,Juarez Community Academy HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,437.4,417.7,74.0,21.7,4.3,0.0
1526,150162990250772,School,Chicago HS for Agricult Scienc,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,485.6,457.4,46.7,39.4,13.3,0.6
1527,150162990250779,School,Hancock College Preparatory HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,524.6,517.7,15.6,46.0,36.0,2.4
1528,150162990250788,School,Brooks College Prep Academy HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,549.3,522.9,15.0,43.0,39.5,2.5
1529,150162990250794,School,Northside College Preparatory ,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,656.2,662.0,0.8,5.0,46.2,48.1
1530,150162990250795,School,Chicago Military Academy HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,426.5,424.8,71.0,22.6,6.5,0.0
1531,150162990250796,School,Payton College Preparatory HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,675.8,675.0,0.0,3.8,38.5,57.6
1533,150162990250803,School,Phoenix Military Academy HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,476.0,442.4,53.2,38.1,8.7,0.0
1534,150162990250818,School,Spry Community Links High Scho,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,403.9,392.3,93.5,6.5,0.0,0.0
1535,150162990250820,School,Chicago Academy High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,476.5,451.8,48.6,36.1,15.3,0.0
1536,150162990250824,School,Bowen High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,391.3,375.9,87.0,13.0,0.0,0.0
1537,150162990250825,School,North-Grand High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,423.4,410.9,74.9,23.5,1.7,0.0
1538,150162990250826,School,Raby High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,396.7,380.2,92.9,7.1,0.0,0.0
1539,150162990250827,School,Clark Acad Prep Magnet High Sc,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,406.2,397.2,82.2,17.8,0.0,0.0
1540,150162990250828,School,Rickover Naval Academy High Sc,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,448.4,445.8,52.7,41.8,5.5,0.0
1541,150162990250829,School,Uplift Community High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,459.2,406.2,69.2,30.8,0.0,0.0
1543,150162990250830,School,World Language High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,444.5,429.3,66.2,25.7,8.1,0.0
1544,150162990250831,School,Douglass Academy High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,369.0,355.0,100.0,0.0,0.0,0.0
1545,150162990250832,School,Devry Advantage Academy High S,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,507.3,493.0,28.6,44.0,25.0,2.4
1546,150162990250833,School,Lindblom Math & Science Acad H,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,534.2,528.1,14.3,44.2,38.8,2.7
1547,150162990250834,School,Bronzeville Scholastic HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,413.3,392.5,100.0,0.0,0.0,0.0
1548,150162990250835,School,School of Social Justice HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,413.5,403.2,83.1,15.6,1.3,0.0
