,RCDTS,Type,School Name,District,City,County,District Type,District Size,School Type,SAT Reading Average Score,SAT Math Average Score,SAT Math Total Students Level 1 %,SAT Math Total Students Level 2 %,SAT Math Total Students Level 3 %,SAT Math Total Students Level 4 %
3812,440630120260002,School,Johnsburg High School,Johnsburg CUSD 12,Johnsburg,McHenry,UNIT,LARGE,HIGH SCHOOL,501.9,490.7,28.5,44.5,24.8,2.2
3828,440630190240002,School,Alden-Hebron High School,Alden Hebron SD 19,Hebron,McHenry,UNIT,SMALL,HIGH SCHOOL,494.4,476.9,37.5,31.3,25.0,6.3
3856,440630500260001,School,Harvard High School,Harvard CUSD 50,Harvard,McHenry,UNIT,LARGE,HIGH SCHOOL,457.4,442.5,60.1,27.2,11.4,1.3
3862,440631540160001,School,Marengo High School,Marengo CHSD 154,Marengo,McHenry,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,505.3,510.8,23.2,39.1,34.8,2.9
3864,440631550160001,School,Crystal Lake Central High Scho,CHSD 155,Crystal Lake,McHenry,HIGH SCHOOL,LARGE,HIGH SCHOOL,503.6,501.0,33.3,32.6,27.7,6.4
3865,440631550160002,School,Cary-Grove Community High Scho,CHSD 155,Cary,McHenry,HIGH SCHOOL,LARGE,HIGH SCHOOL,533.6,523.9,22.8,34.6,32.8,9.8
3866,440631550160003,School,Crystal Lake South High School,CHSD 155,Crystal Lake,McHenry,HIGH SCHOOL,LARGE,HIGH SCHOOL,514.0,505.1,29.5,33.4,30.4,6.7
3867,440631550160004,School,Prairie Ridge High School,CHSD 155,Crystal Lake,McHenry,HIGH SCHOOL,LARGE,HIGH SCHOOL,543.6,543.6,22.3,25.2,37.9,14.6
3869,440631560160001,School,McHenry High School-West Campu,McHenry CHSD 156,McHenry,McHenry,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,498.7,486.5,34.9,35.5,27.2,2.4
3870,440631560160002,School,McHenry  East High School,McHenry CHSD 156,McHenry,McHenry,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,488.8,480.6,33.6,42.2,24.2,0.0
3872,440631570160001,School,Richmond-Burton High School,Richmond-Burton CHSD 157,Richmond,McHenry,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,526.8,527.1,26.5,33.1,26.5,14.0
3874,440631580220002,School,Huntley High School,Huntley Community School Distr,Huntley,McHenry,UNIT,LARGE,HIGH SCHOOL,538.4,531.1,19.2,34.9,36.4,9.5
3888,440632000260008,School,Woodstock High School,Woodstock CUSD 200,Woodstock,McHenry,UNIT,LARGE,HIGH SCHOOL,516.3,483.1,33.6,37.2,26.7,2.4
3889,440632000260009,School,Woodstock North High School,Woodstock CUSD 200,Woodstock,McHenry,UNIT,LARGE,HIGH SCHOOL,494.9,482.2,36.7,37.6,21.1,4.6
3900,450670030260001,School,Valmeyer High School,Valmeyer CUSD 3,Valmeyer,Monroe,UNIT,SMALL,HIGH SCHOOL,489.2,474.6,37.5,45.8,16.7,0.0
3904,450670040260001,School,Columbia High School,Columbia CUSD 4,Columbia,Monroe,UNIT,LARGE,HIGH SCHOOL,517.0,526.3,19.4,34.5,38.8,7.2
3909,450670050260001,School,Waterloo High School,Waterloo CUSD 5,Waterloo,Monroe,UNIT,LARGE,HIGH SCHOOL,510.1,502.6,32.8,30.8,28.7,7.7
3915,450790010220001,School,Coulterville High School,Coulterville USD 1,Coulterville,Randolph,UNIT,SMALL,HIGH SCHOOL,465.4,478.5,30.8,46.2,23.1,0.0
3919,450791320260001,School,Red Bud High School,Red Bud CUSD 132,Red Bud,Randolph,UNIT,MEDIUM,HIGH SCHOOL,475.3,457.8,52.6,26.3,18.9,2.1
3924,450791380260001,School,Steeleville High School,Steeleville CUSD 138,Steeleville,Randolph,UNIT,SMALL,HIGH SCHOOL,460.9,457.7,45.5,38.6,13.6,2.3
3927,450791390260001,School,Chester High School,Chester CUSD 139,Chester,Randolph,UNIT,MEDIUM,HIGH SCHOOL,450.6,430.0,59.8,33.3,6.9,0.0
3930,450791400260001,School,Sparta High School,Sparta CUSD 140,Sparta,Randolph,UNIT,MEDIUM,HIGH SCHOOL,449.9,441.0,56.2,32.9,11.0,0.0
3934,470521700220001,School,Dixon High School,Dixon USD 170,Dixon,Lee,UNIT,LARGE,HIGH SCHOOL,490.9,469.9,42.5,36.3,19.6,1.7
3945,470522720260001,School,Amboy High School,Amboy CUSD 272,Amboy,Lee,UNIT,MEDIUM,HIGH SCHOOL,482.0,470.4,40.0,36.0,22.0,2.0
3949,470522750260001,School,Ashton-Franklin Center HS,Ashton-Franklin Center CUSD 27,Ashton,Lee,UNIT,MEDIUM,HIGH SCHOOL,439.7,439.0,58.6,34.5,6.9,0.0
3956,470712120170001,School,Rochelle Twp High School,Rochelle Twp HSD 212,Rochelle,Ogle,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,471.3,474.0,47.0,30.3,18.4,4.3
3958,470712200260001,School,Oregon High School,Oregon CUSD 220,Oregon,Ogle,UNIT,MEDIUM,HIGH SCHOOL,471.7,457.5,48.1,32.1,18.5,1.2
3962,470712210260004,School,Forreston Jr/Sr High Sch,Forrestville Valley CUSD 221,Forreston,Ogle,UNIT,MEDIUM,HIGH SCHOOL,480.2,476.4,42.9,32.1,23.2,1.8
3966,470712220260004,School,Polo Comm High School,Polo CUSD 222,Polo,Ogle,UNIT,MEDIUM,HIGH SCHOOL,473.4,461.7,46.3,36.6,17.1,0.0
3970,470712230260003,School,Stillman Valley High School,Meridian CUSD 223,Stillman Valley,Ogle,UNIT,MEDIUM,HIGH SCHOOL,511.4,491.1,33.3,36.8,27.2,2.6
3975,470712260260001,School,Byron High School 9-12,Byron CUSD 226,Byron,Ogle,UNIT,MEDIUM,HIGH SCHOOL,522.6,507.3,29.2,34.9,30.2,5.7
3987,470980010260001,School,Erie High School,Erie CUSD 1,Erie,Whiteside,UNIT,MEDIUM,HIGH SCHOOL,508.6,493.6,32.2,37.3,28.8,1.7
3991,470980020260001,School,Fulton High School,River Bend CUSD 2,Fulton,Whiteside,UNIT,MEDIUM,HIGH SCHOOL,519.3,491.8,33.8,35.3,25.0,5.9
3996,470980030260001,School,Prophetstown High School,Prophetstown-Lyndon-Tampico CU,Prophetstown,Whiteside,UNIT,MEDIUM,HIGH SCHOOL,484.8,448.3,57.1,31.0,11.9,0.0
4001,470980050260014,School,Sterling High School,Sterling CUSD 5,Sterling,Whiteside,UNIT,LARGE,HIGH SCHOOL,490.3,465.7,46.2,32.8,19.0,2.1
4008,470980060260001,School,Morrison High School,Morrison CUSD 6,Morrison,Whiteside,UNIT,MEDIUM,HIGH SCHOOL,499.6,484.4,30.7,45.3,22.7,1.3
4022,470983010170001,School,Rock Falls Township High Schoo,Rock Falls Twp HSD 301,Rock Falls,Whiteside,HIGH SCHOOL,SMALL,HIGH SCHOOL,484.9,464.9,43.1,35.4,18.8,2.8
4038,480721500250023,School,Manual High School,Peoria SD 150,Peoria,Peoria,UNIT,LARGE,HIGH SCHOOL,402.4,384.7,87.2,11.9,0.9,0.0
4039,480721500250024,School,Peoria High School,Peoria SD 150,Peoria,Peoria,UNIT,LARGE,HIGH SCHOOL,411.6,401.0,79.7,15.6,4.2,0.5
4040,480721500250025,School,Richwoods High School,Peoria SD 150,Peoria,Peoria,UNIT,LARGE,HIGH SCHOOL,496.8,487.3,38.3,32.0,24.3,5.3
4041,480721500250028,School,Diploma Degree North Campus,Peoria SD 150,Peoria,Peoria,UNIT,LARGE,HIGH SCHOOL,549.5,513.3,23.8,38.1,28.6,9.5
4065,480722650260001,School,Farmington Central High Sch,Farmington Central CUSD 265,Farmington,Peoria,UNIT,MEDIUM,HIGH SCHOOL,466.4,473.1,37.1,47.1,15.7,0.0
4069,480723090260003,School,Brimfield High School,Brimfield CUSD 309,Brimfield,Peoria,UNIT,MEDIUM,HIGH SCHOOL,505.7,525.3,17.6,43.1,37.3,2.0
4072,480723100160001,School,Limestone Community High Schoo,Limestone CHSD 310,Peoria,Peoria,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,472.3,453.2,52.5,33.3,12.6,1.6
4076,480723210260007,School,Il Valley Central High School,Il Valley Central USD 321,Chillicothe,Peoria,UNIT,LARGE,HIGH SCHOOL,507.4,490.9,40.0,30.0,22.9,7.1
4083,480723220260004,School,Elmwood High School,Elmwood CUSD 322,Elmwood,Peoria,UNIT,MEDIUM,HIGH SCHOOL,511.8,506.2,29.4,32.4,35.3,2.9
4087,480723230260004,School,Dunlap High School,Dunlap CUSD 323,Dunlap,Peoria,UNIT,LARGE,HIGH SCHOOL,544.4,558.1,16.7,23.5,44.9,15.0
4096,480723250260005,School,Peoria Heights High School,Peoria Heights CUSD 325,Peoria Heights,Peoria,UNIT,MEDIUM,HIGH SCHOOL,472.0,456.7,50.0,37.0,13.0,0.0
4099,480723260260005,School,Princeville High School,Princeville CUSD 326,Princeville,Peoria,UNIT,MEDIUM,HIGH SCHOOL,499.8,522.9,17.9,37.5,41.1,3.6
4102,480723270260008,School,Illini Bluffs High School,Illini Bluffs CUSD 327,Glasford,Peoria,UNIT,MEDIUM,HIGH SCHOOL,477.2,478.2,26.0,54.0,20.0,0.0
4110,490810300170001,School,United Twp High School,United Twp HSD 30,East Moline,Rock Island,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,454.2,441.4,60.4,25.9,10.9,2.8
4123,490810400220001,School,Moline Sr High School,Moline-Coal Valley CUSD 40,Moline,Rock Island,UNIT,LARGE,HIGH SCHOOL,475.5,454.5,52.4,31.2,14.5,1.9
4138,490810410250001,School,Rock Island High School,Rock Island SD 41,Rock Island,Rock Island,UNIT,LARGE,HIGH SCHOOL,444.2,428.1,66.0,25.7,8.1,0.3
4152,490811000260001,School,Riverdale Sr High School,Riverdale CUSD 100,Port Byron,Rock Island,UNIT,MEDIUM,HIGH SCHOOL,494.3,486.1,32.9,38.0,29.1,0.0
4156,490812000260001,School,Sherrard High School,Sherrard CUSD 200,Sherrard,Rock Island,UNIT,MEDIUM,HIGH SCHOOL,488.1,478.5,41.9,32.3,21.5,4.3
4162,490813000260001,School,Rockridge High School,Rockridge CUSD 300,Taylor Ridge,Rock Island,UNIT,MEDIUM,HIGH SCHOOL,504.1,511.4,22.1,37.9,36.8,3.2
4168,500820090260003,School,Lebanon High School,Lebanon CUSD 9,Lebanon,Saint Clair,UNIT,MEDIUM,HIGH SCHOOL,488.5,431.0,65.0,30.0,5.0,0.0
4171,500820190260001,School,Mascoutah High School,Mascoutah CUD 19,Mascoutah,Saint Clair,UNIT,LARGE,HIGH SCHOOL,532.3,511.1,26.8,33.8,32.3,7.1
4179,500820400260001,School,Marissa Jr & Sr High School,Marissa CUSD 40,Marissa,Saint Clair,UNIT,MEDIUM,HIGH SCHOOL,462.0,454.3,54.3,25.7,14.3,5.7
4182,500820600260003,School,New Athens High School,New Athens CUSD 60,New Athens,Saint Clair,UNIT,MEDIUM,HIGH SCHOOL,489.7,450.9,50.0,43.8,6.3,0.0
4189,500820770160001,School,Freeburg Community High Sch,Freeburg CHSD 77,Freeburg,Saint Clair,HIGH SCHOOL,SMALL,HIGH SCHOOL,511.0,494.7,31.4,39.4,25.1,4.0
4244,500821870260011,School,Cahokia High School,Cahokia CUSD 187,Cahokia,Saint Clair,UNIT,LARGE,HIGH SCHOOL,421.4,406.8,76.1,18.2,5.7,0.0
4255,500821880220001,School,Lovejoy Technology Academy,Brooklyn UD 188,Lovejoy,Saint Clair,UNIT,SMALL,HIGH SCHOOL,,,,,,
4260,500821890220043,School,East St Louis Senior High Scho,East St Louis SD 189,East Saint Louis,Saint Clair,UNIT,LARGE,HIGH SCHOOL,398.2,380.7,90.1,9.9,0.0,0.0
4270,500821960260001,School,Dupo High School,Dupo CUSD 196,Dupo,Saint Clair,UNIT,MEDIUM,HIGH SCHOOL,450.9,447.9,55.2,31.0,13.8,0.0
4274,500822010170001,School,Belleville High School-East,Belleville Twp HSD 201,Belleville,Saint Clair,HIGH SCHOOL,LARGE,HIGH SCHOOL,483.1,469.9,44.7,32.1,19.3,3.9
4275,500822010170002,School,Belleville High School-West,Belleville Twp HSD 201,Belleville,Saint Clair,HIGH SCHOOL,LARGE,HIGH SCHOOL,473.4,457.3,52.0,29.2,16.1,2.7
4277,500822030170001,School,O Fallon High School,O Fallon Twp HSD 203,O Fallon,Saint Clair,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,512.8,497.6,35.8,31.8,24.3,8.0
4279,510652000260001,School,Greenview Jr/Sr High School,Greenview CUSD 200,Greenview,Menard,UNIT,SMALL,HIGH SCHOOL,430.9,426.4,63.6,36.4,0.0,0.0
4282,510652020260001,School,Porta High School,Porta CUSD 202,Petersburg,Menard,UNIT,MEDIUM,HIGH SCHOOL,487.8,485.5,40.0,34.5,23.6,1.8
4286,510652130260001,School,Athens Sr High School,Athens CUSD 213,Athens,Menard,UNIT,MEDIUM,HIGH SCHOOL,495.3,483.2,26.0,50.7,20.5,2.7
4291,510840010260001,School,Tri-City High School,Tri City CUSD 1,Buffalo,Sangamon,UNIT,MEDIUM,HIGH SCHOOL,471.7,453.7,46.7,36.7,16.7,0.0
4295,51084003A260001,School,Rochester High School,Rochester CUSD 3A,Rochester,Sangamon,UNIT,LARGE,HIGH SCHOOL,525.5,493.0,34.3,36.7,24.3,4.8
4301,510840050260001,School,Glenwood High School,Ball Chatham CUSD 5,Chatham,Sangamon,UNIT,LARGE,HIGH SCHOOL,514.4,499.7,30.4,36.1,30.4,3.0
4308,510840080260001,School,Pleasant Plains High School,Pleasant Plains CUSD 8,Pleasant Plains,Sangamon,UNIT,MEDIUM,HIGH SCHOOL,515.0,500.3,29.5,34.3,32.4,3.8
4312,510840100260001,School,Auburn High School,Auburn CUSD 10,Auburn,Sangamon,UNIT,MEDIUM,HIGH SCHOOL,479.1,456.5,48.4,39.8,11.8,0.0
4317,510840110260001,School,Pawnee Jr/Sr High Sch,Pawnee CUSD 11,Pawnee,Sangamon,UNIT,MEDIUM,HIGH SCHOOL,485.2,438.2,54.5,33.3,12.1,0.0
4320,510840140260001,School,Riverton High School,Riverton CUSD 14,Riverton,Sangamon,UNIT,MEDIUM,HIGH SCHOOL,471.1,460.1,41.8,42.9,15.3,0.0
4324,510840150260001,School,Williamsville High School,Williamsville CUSD 15,Williamsville,Sangamon,UNIT,MEDIUM,HIGH SCHOOL,505.7,479.1,33.6,43.9,19.6,2.8
4328,510840160260001,School,New Berlin High School,New Berlin CUSD 16,New Berlin,Sangamon,UNIT,MEDIUM,HIGH SCHOOL,478.9,479.1,36.0,33.3,29.3,1.3
4332,510841860250001,School,Lanphier High School,Springfield SD 186,Springfield,Sangamon,UNIT,LARGE,HIGH SCHOOL,438.2,424.7,65.3,25.2,8.2,1.4
4333,510841860250002,School,Springfield High School,Springfield SD 186,Springfield,Sangamon,UNIT,LARGE,HIGH SCHOOL,537.9,528.8,25.9,28.9,35.0,10.2
4334,510841860250003,School,Springfield Southeast High Sch,Springfield SD 186,Springfield,Sangamon,UNIT,LARGE,HIGH SCHOOL,458.4,448.5,57.5,23.6,17.3,1.6
4364,530601260260001,School,Havana High School,Havana CUSD 126,Havana,Mason,UNIT,MEDIUM,HIGH SCHOOL,466.8,450.0,52.5,33.9,13.6,0.0
4368,530601890260001,School,Illini Central High School,Illini Central CUSD 189,Mason City,Mason,UNIT,MEDIUM,HIGH SCHOOL,449.5,423.1,66.7,26.2,7.1,0.0
4373,530601910260001,School,Midwest Central High School,Midwest Central CUSD 191,Manito,Mason,UNIT,MEDIUM,HIGH SCHOOL,436.8,433.0,58.0,34.1,8.0,0.0
4419,530903030160002,School,Pekin Community High School,Pekin CSD 303,Pekin,Tazewell,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,472.4,471.3,42.9,35.0,20.0,2.2
4421,530903080160001,School,Washington Comm High School,Washington CHSD 308,Washington,Tazewell,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,522.8,527.5,20.7,36.2,32.8,10.3
4423,530903090160001,School,East Peoria High School,East Peoria CHSD 309,East Peoria,Tazewell,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,454.6,453.1,53.0,30.2,13.5,3.3
4427,530907010260001,School,Dee-Mack High School,Deer Creek-Mackinaw CUSD 701,Mackinaw,Tazewell,UNIT,MEDIUM,HIGH SCHOOL,493.9,483.9,31.1,45.9,20.3,2.7
4431,530907020260001,School,Tremont High School,Tremont CUSD 702,Tremont,Tazewell,UNIT,MEDIUM,HIGH SCHOOL,520.9,494.2,34.4,33.3,28.0,4.3
4435,530907030260001,School,Delavan High School,Delavan CUSD 703,Delavan,Tazewell,UNIT,SMALL,HIGH SCHOOL,492.4,475.8,26.3,57.9,15.8,0.0
4439,530907090260006,School,Morton High School,Morton CUSD 709,Morton,Tazewell,UNIT,LARGE,HIGH SCHOOL,536.5,531.6,23.4,24.2,42.6,9.8
4450,531020060260001,School,Fieldcrest High School,Fieldcrest CUSD 6,Minonk,Woodford,UNIT,MEDIUM,HIGH SCHOOL,488.6,486.9,35.6,37.3,25.4,1.7
4455,531020110260001,School,El Paso-Gridley High School,El Paso-Gridley CUSD 11,El Paso,Woodford,UNIT,MEDIUM,HIGH SCHOOL,521.6,497.1,32.3,38.4,26.3,3.0
4460,531020210260001,School,Lowpoint-Washburn Jr Sr High S,Lowpoint-Washburn CUSD 21,Washburn,Woodford,UNIT,SMALL,HIGH SCHOOL,420.7,421.4,64.3,35.7,0.0,0.0
4463,531020600260001,School,Roanoke-Benson High School,Roanoke Benson CUSD 60,Roanoke,Woodford,UNIT,MEDIUM,HIGH SCHOOL,510.3,496.8,34.2,28.9,31.6,5.3
4470,531021220170001,School,Metamora High School,County of Woodford School,Metamora,Woodford,HIGH SCHOOL,MEDIUM,HIGH SCHOOL,522.1,526.6,24.3,28.0,38.3,9.5
4472,531021400260001,School,Eureka High School,Eureka CUD 140,Eureka,Woodford,UNIT,MEDIUM,HIGH SCHOOL,539.3,537.4,15.2,33.3,45.5,6.1
4481,540920020260004,School,Westville High School,Westville CUSD 2,Westville,Vermilion,UNIT,MEDIUM,HIGH SCHOOL,445.4,418.9,68.9,24.4,6.7,0.0
4485,540920040260004,School,Georgetown-Ridge Farm High Sch,Georgetown-Ridge Farm CUD 4,Georgetown,Vermilion,UNIT,MEDIUM,HIGH SCHOOL,443.5,451.0,49.0,39.2,11.8,0.0
4493,540920110260005,School,Hoopeston Area High School,Hoopeston Area CUSD 11,Hoopeston,Vermilion,UNIT,MEDIUM,HIGH SCHOOL,458.4,453.9,54.2,26.5,19.3,0.0
4500,540920760260001,School,Oakwood High School,Oakwood CUSD 76,Fithian,Vermilion,UNIT,MEDIUM,HIGH SCHOOL,461.1,464.8,44.4,38.1,17.5,0.0
4504,540921180240022,School,Danville High School,Danville CCSD 118,Danville,Vermilion,UNIT,LARGE,HIGH SCHOOL,434.9,415.7,71.0,24.2,4.4,0.4
4515,540922250170001,School,Armstrong High School,Armstrong Twp HSD 225,Armstrong,Vermilion,HIGH SCHOOL,SMALL,HIGH SCHOOL,474.3,447.1,53.6,39.3,7.1,0.0
4517,540925120260001,School,Salt Fork High School,Salt Fork Community Unit Distr,Catlin,Vermilion,UNIT,MEDIUM,HIGH SCHOOL,461.5,441.5,53.2,40.4,6.4,0.0
4522,540928000800001,School,Bismarck Henning Rossville Alv,Bismarck Henning Rossville Alv,Bismarck,Vermilion,HIGH SCHOOL,,HIGH SCHOOL,480.6,476.8,34.5,51.2,13.1,1.2
4619,56099200U260001,School,Beecher High School,Beecher CUSD 200U,Beecher,Will,UNIT,MEDIUM,HIGH SCHOOL,506.1,466.4,43.0,39.0,16.0,2.0
4623,56099201U260001,School,Crete-Monee High School,Crete Monee CUSD 201U,Crete,Will,UNIT,LARGE,HIGH SCHOOL,448.7,426.2,65.5,25.9,7.9,0.6
4632,560992020220001,School,Plainfield High School,Plainfield SD 202,Plainfield,Will,UNIT,LARGE,HIGH SCHOOL,492.4,485.5,38.6,35.7,20.1,5.7
4633,560992020220002,School,Plainfield South High School,Plainfield SD 202,Plainfield,Will,UNIT,LARGE,HIGH SCHOOL,481.4,473.2,41.7,35.9,19.7,2.7
4634,560992020220003,School,Plainfield North High School,Plainfield SD 202,Plainfield,Will,UNIT,LARGE,HIGH SCHOOL,522.6,523.5,24.5,33.3,32.5,9.7
4635,560992020220004,School,Plainfield East High School,Plainfield SD 202,Plainfield,Will,UNIT,LARGE,HIGH SCHOOL,516.7,512.3,29.3,33.6,28.6,8.5
4664,560992040170001,School,Joliet Central High School,Joliet Twp HSD 204,Joliet,Will,HIGH SCHOOL,LARGE,HIGH SCHOOL,450.7,437.6,60.9,28.4,10.0,0.7
4665,560992040170003,School,Joliet West High School,Joliet Twp HSD 204,Joliet,Will,HIGH SCHOOL,LARGE,HIGH SCHOOL,476.6,465.0,45.4,35.2,17.6,1.8
4667,560992050170001,School,Lockport Township High Sch Eas,Lockport Twp HSD 205,Lockport,Will,HIGH SCHOOL,LARGE,HIGH SCHOOL,511.0,502.9,30.2,34.8,28.5,6.4
4669,56099207U260001,School,Peotone High School,Peotone CUSD 207U,Peotone,Will,UNIT,MEDIUM,HIGH SCHOOL,496.4,477.3,41.1,34.7,22.6,1.6
4675,56099209U260001,School,Wilmington High School,Wilmington CUSD 209U,Wilmington,Will,UNIT,MEDIUM,HIGH SCHOOL,481.9,469.3,40.0,37.9,20.0,2.1
4680,560992100160001,School,Lincoln-Way Central High Schoo,Lincoln Way CHSD 210,New Lenox,Will,HIGH SCHOOL,LARGE,HIGH SCHOOL,539.4,533.0,20.6,33.8,34.4,11.1
4681,560992100160002,School,Lincoln-Way East High School,Lincoln Way CHSD 210,Frankfort,Will,HIGH SCHOOL,LARGE,HIGH SCHOOL,547.3,529.5,23.7,29.3,36.1,10.9
4682,560992100160004,School,Lincoln Way West,Lincoln Way CHSD 210,New Lenox,Will,HIGH SCHOOL,LARGE,HIGH SCHOOL,526.8,520.1,24.7,35.4,31.8,8.1
4684,56099255U260001,School,Reed-Custer High School,Reed Custer CUSD 255U,Braidwood,Will,UNIT,MEDIUM,HIGH SCHOOL,465.6,453.7,52.3,33.0,11.9,2.8
4688,56099365U260007,School,Bolingbrook High School,Valley View CUSD 365U,Bolingbrook,Will,UNIT,LARGE,HIGH SCHOOL,493.5,482.2,37.0,37.7,21.4,3.9
4689,56099365U260008,School,Romeoville High School,Valley View CUSD 365U,Romeoville,Will,UNIT,LARGE,HIGH SCHOOL,486.7,467.3,47.1,31.7,17.9,3.3
4709,601054280303014,School,Illinois Youth Ctr - St Charle,IDJJ Sch Dist 428,Saint Charles,Dept Of Corrections,UNIT,,HIGH SCHOOL,,,,,,
4710,601054280303019,School,Illinois Youth Center-Warrenvi,IDJJ Sch Dist 428,Naperville,Dept Of Corrections,UNIT,,HIGH SCHOOL,,,,,,
4711,601054280303028,School,School District 428 IYC-HRB,IDJJ Sch Dist 428,Harrisburg,Dept Of Corrections,UNIT,,HIGH SCHOOL,,,,,,
4714,651089010800001,School,University High School,ISU  Laboratory Schools,Normal,State Of Illinois,UNIT,,HIGH SCHOOL,580.9,580.9,6.8,32.0,36.7,24.5
4717,651089020800001,School,University of Illinois High Sc,University of Ill Lab School,Urbana,State Of Illinois,HIGH SCHOOL,,HIGH SCHOOL,,,,,,
4719,651089030800001,School,Illinois Mathematics and Scien,Illinois Mathematics & Science,Aurora,State Of Illinois,HIGH SCHOOL,,HIGH SCHOOL,,,,,,
